[TPRdata]																
0.013919448	0.018456432	0.021163422	0.021672947													
0.010180931	0.014189287	0.016946936	0.01762056													
0.007591113	0.011027172	0.013676332	0.014953914													
0.005874243	0.009229929	0.011815643	0.012613727													
0.004919391	0.008030141	0.010191131	0.011037396													
0.004647245	0.007478175	0.009862097	0.011140727													
0.004556614	0.007149488	0.009543286	0.010950761													
0.004417409	0.007017716	0.009244207	0.010663199													
0.004051779	0.006376411	0.008630171	0.010151137													
0.003612644	0.006041416	0.007826486	0.009342526													
0.003630655	0.005236424	0.007215144	0.00826954													
0.003004434	0.00479275	0.006710839	0.00797393													
0.003151677	0.004949446	0.006718092	0.007954175													
0.003288598	0.005070124	0.006959087	0.00815061													
0.003186391	0.005042592	0.006986918	0.008430202													
0.003305775	0.004802746	0.006730259	0.00818141													
0.002983233	0.004391854	0.006119269	0.007391085													
0.00257428	0.003923316	0.005334173	0.006499712													
0.002255926	0.003582333	0.004961713	0.006031463													
0.00227343	0.003670132	0.004689962	0.005915069													
0.002305971	0.003309249	0.004292735	0.005236534													
0.002338513	0.002948366	0.003895508	0.004557998													
0.002371054	0.002587482	0.003498281	0.003879463													
0.002403596	0.002226599	0.003101053	0.003200927													
0.002436137	0.001865716	0.002703826	0.002522392													
0.002468679	0.001504832	0.002306599	0.001843856													
0.00250122	0.001143949	0.001909372	0.001165321													
0.002533762	0.000783066	0.001512145	0.000486785													
0.002566303	0.000422183	0.001114918	0													
0.002598845	0	0.000717691	0													
0.002631386	0	0.000320463	0													
0.002663928	0	0	0													
1	1	1	1													
1.009725373	1.003383209	0.993455623	0.973252801													
0.991051479	0.991819397	0.988514486	0.965521134													
0.964129992	0.961429297	0.953421526	0.934311444													
0.901848662	0.906203602	0.899430476	0.898922573													
0.80424705	0.810637124	0.807332357	0.808404772													
0.663076247	0.665882702	0.667331797	0.663085352													
0.512460227	0.50160472	0.507904826	0.497959587													
0.349259255	0.347207616	0.351264561	0.334151797													
0.21421488	0.213248165	0.213935792	0.206480187													
0.11694954	0.122325565	0.121398146	0.117517115													
0.063535926	0.070378079	0.072237463	0.072007562													
0.037851857	0.044753735	0.04751406	0.048650605													
0.024111888	0.030794221	0.033778128	0.035480057													
0.016785222	0.022908788	0.026183331	0.028218653													
0.012377987	0.018279294	0.021221965	0.023805586													
0.00946491	0.014838023	0.017919361	0.020176762													
0.007508927	0.012260705	0.01536441	0.017709072													
0.006123211	0.010457574	0.013620032	0.015657149													
0.005357593	0.0093026	0.012303112	0.014591684													
0.004884411	0.008744125	0.011689122	0.014101691													
0.00470248	0.008162975	0.011163474	0.013633307													
0.004355211	0.007734304	0.01046479	0.013158521													
0.003994414	0.006995878	0.009850315	0.012494421													
0.003549717	0.006429634	0.008948097	0.011433501													
0.003209063	0.005837283	0.008317311	0.010727753													
0.003171258	0.005524836	0.007991676	0.01027325													
0.003214501	0.005452532	0.007846216	0.009818747													
0.003327882	0.005501248	0.00784466	0.009364244													
0.003413115	0.005335388	0.007666364	0.008909741													
0.003150253	0.00509852	0.007423083	0.008455238													
0.002791265	0.004091178	0.006148173	0.008000735													
0.002131594	0.003071795	0.004582596	0.007546232													
0.002375152	0.002052413	0.003017018	0.007091729													
0.002271364	0.00103303	0.001451441	0.006637226													
0.001726033	0	0	0.006182723													
0.001180701	0	0	0.00572822													
0.00063537	0	0	0.005273717													
0	0	0	0.004819214													
0	0	0	0.004364711													
0	0	0	0.003910208													
0	0	0	0.003455705													
0	0	0	0.003001202													
1	1	1	1													
0.994894155	0.998292698	1.016980358	0.993316399													
0.994286504	1.006693342	1.014757755	0.987186762													
0.993609336	1.001189357	1.005005474	0.987666591													
0.994351795	0.995951123	1.005916742	0.989722631													
0.991577379	1.004689901	1.004383692	0.978569641													
0.990986254	0.999528087	1.006509623	0.982720704													
0.988352822	0.99210779	0.996207218	0.976511518													
0.973569726	0.970040382	0.982387625	0.966728274													
0.959173869	0.97643487	0.970348613	0.949916957													
0.937032998	0.941825013	0.952080046	0.934674716													
0.892324076	0.897168258	0.909996092	0.88414289													
0.807047919	0.819297538	0.831310469	0.816361914													
0.686729573	0.700512157	0.707883143	0.711501066													
0.539335287	0.554722115	0.560584579	0.556099507													
0.38321652	0.391495207	0.398473875	0.395573384													
0.247563628	0.253267603	0.257952817	0.246924422													
0.137132009	0.148273361	0.150704585	0.147544168													
0.074981846	0.085709081	0.090715974	0.092433062													
0.044201353	0.054119948	0.059581415	0.062601848													
0.028358613	0.037114117	0.043111892	0.046473574													
0.019556426	0.027950098	0.033407945	0.037635276													
0.014561575	0.022141985	0.027723763	0.031639202													
0.011247677	0.018302398	0.023918022	0.027970564													
0.009204075	0.01570835	0.021146808	0.025012864													
0.007745053	0.0137601	0.018913923	0.02289655													
0.006852506	0.012398057	0.017282088	0.021766424													
0.00647329	0.011697583	0.016564442	0.021045723													
0.006132037	0.010968596	0.015699109	0.020557247													
0.005872343	0.0103549	0.015186944	0.01952486													
0.005439509	0.009640392	0.014139132	0.018503703													
0.004195356	0.007350271	0.011235301	0.015117104													
0.002951203	0.00548162	0.008417892	0.012172214													
0.00170705	0.005038717	0.007708454	0.011184684													
0.000462897	0.004595813	0.006700352	0.009816255													
0	0.004152909	0.005623588	0.008470342													
0	0.003710006	0.005336215	0.00712443													
0	0.003267102	0.005048843	0.005778517													
0	0.002824198	0.00476147	0.004432604													
0	0.002381295	0.004474098	0.003086691													
0	0.001938391	0.004186725	0.001740779													
0	0.001495487	0.003899353	0.000394866													
0	0.001052583	0.00361198	0													
[OARYdata]																
3																
2.5																
10																
40																
5																
1.5																
5																
10																
15																
20																
51																
0																
1																
2																
3																
4																
5																
6																
7																
8																
9																
10																
11																
12																
13																
14																
15																
16																
17																
18																
19																
20																
21																
22																
23																
24																
25																
26																
27																
28																
29																
30																
31																
32																
33																
34																
35																
36																
37																
38																
39																
40																
45																
50																
55																
60																
65																
70																
75																
80																
85																
90																
1	1	1	1	1												
0.959852968	0.991078384	0.992091369	0.990722452	0.989473793												
0.94274122	0.960333279	0.962051252	0.962721166	0.961190404												
0.887056628	0.90013302	0.903858171	0.906435596	0.905329169												
0.787237712	0.80369588	0.808407616	0.813590937	0.814525899												
0.650827798	0.675517472	0.681753933	0.685322588	0.684152129												
0.517038225	0.531334099	0.535374356	0.536467065	0.537886467												
0.373548869	0.390549652	0.393233746	0.393245013	0.392073408												
0.255662624	0.267220432	0.270789043	0.270614444	0.269455413												
0.16529394	0.17809045	0.182152771	0.18337634	0.183237865												
0.106831799	0.119301939	0.124950237	0.127675169	0.12773136												
0.069937399	0.082750937	0.088786234	0.091093519	0.092292443												
0.046174985	0.058303739	0.064414868	0.067365891	0.068650479												
0.030513928	0.042411675	0.048437724	0.051121411	0.052723342												
0.021005092	0.031523238	0.037528585	0.040550169	0.042187325												
0.014723251	0.02438004	0.030486038	0.033416682	0.034550927												
0.010790533	0.019857232	0.025763397	0.02845898	0.030060276												
0.008310026	0.016482026	0.022284475	0.025221992	0.026699647												
0.006617399	0.014029341	0.019841039	0.022719548	0.024292387												
0.005355273	0.012354773	0.018029883	0.020706353	0.022295519												
0.004445406	0.010991538	0.01623463	0.019049689	0.020668581												
0.003942689	0.009986833	0.015172163	0.017929908	0.019364797												
0.00340678	0.009026357	0.013962469	0.016743138	0.018473975												
0.002982477	0.008250982	0.01309076	0.015817742	0.017396936												
0.002783571	0.007533599	0.012194899	0.014849131	0.016238546												
0.002529699	0.00698383	0.011492642	0.01417309	0.015483573												
0.002290618	0.006511964	0.010805551	0.013323997	0.014643119												
0.002122146	0.00606977	0.01028642	0.012702603	0.013862702												
0.00199518	0.005626585	0.009582157	0.011867181	0.013243407												
0.001847143	0.005275447	0.009011902	0.011362991	0.012814691												
0.001699106	0.004853465	0.008618802	0.010806228	0.012211397												
0.001551069	0.004627643	0.008184997	0.010319067	0.011669595												
0.001403031	0.004321711	0.007809123	0.009871106	0.011280239												
0.001254994	0.004019957	0.007365215	0.009528229	0.010650314												
0.001106957	0.003759819	0.006970031	0.009022874	0.010149285												
0.00095892	0.003566769	0.00668618	0.008634668	0.009854119												
0.000810883	0.003451812	0.006327892	0.008157457	0.009321952												
0.000662845	0.003206858	0.00598737	0.007894541	0.009050663												
0.000514808	0.003032206	0.005640063	0.007578193	0.008621842												
0.000366771	0.002784992	0.005438618	0.007259796	0.008256471												
0.000218734	0.002650333	0.005177273	0.006930086	0.007984875												
7.07E-05	0.002014066	0.004199659	0.005657507	0.006522581												
0	0.001612419	0.003340041	0.004677484	0.005461209												
0	0.0012943	0.002790042	0.003872834	0.004520436												
0	0.001037525	0.002324089	0.003226549	0.00378722												
0	0.000872358	0.001893702	0.002776049	0.003330709												
0	0.000668747	0.001506601	0.002383857	0.002744818												
0	0.000539808	0.001372018	0.002034325	0.00237534												
0	0.000485554	0.001149945	0.0016811	0.001984543												
0	0.000367272	0.000998021	0.001475621	0.001591683												
0	0.000337282	0.000849378	0.001281653	0.001469894												
1	1	1	1	1												
0.988575699	0.991386564	0.990687556	0.992502826	0.992595861												
0.958575498	0.960658692	0.961980897	0.963124767	0.964350903												
0.895409174	0.901348899	0.906304779	0.909094865	0.910985563												
0.801035801	0.807222886	0.813940299	0.818893388	0.822531176												
0.676968147	0.68167998	0.690257549	0.69497707	0.697179219												
0.530931768	0.539739322	0.548170383	0.551308937	0.554506264												
0.386762782	0.399389157	0.408668381	0.411751988	0.412309674												
0.269522789	0.279249122	0.28893109	0.292872427	0.293692491												
0.175432758	0.189941555	0.202119154	0.207275184	0.210237277												
0.116230562	0.13264385	0.145988997	0.15342569	0.157100343												
0.078874775	0.096169122	0.10985368	0.117474671	0.121902781												
0.054286988	0.071971902	0.085985942	0.094015362	0.098341254												
0.038257268	0.055903023	0.069597975	0.077733814	0.082646168												
0.027435209	0.04477378	0.058428552	0.067008271	0.071271115												
0.021077489	0.037298548	0.050663528	0.059247436	0.064193242												
0.016689619	0.032271222	0.045242923	0.053995671	0.058532814												
0.013805987	0.028540938	0.04137253	0.049604593	0.054771891												
0.011740338	0.025752145	0.038476839	0.046646581	0.051351759												
0.010192253	0.023398444	0.035879399	0.044043893	0.049010229												
0.009122929	0.021373344	0.033988602	0.042050795	0.046507228												
0.008278075	0.019921177	0.032323238	0.039912883	0.044272541												
0.007508011	0.018606698	0.030596314	0.038323643	0.042870243												
0.007006017	0.017317579	0.029211517	0.036701992	0.041320609												
0.006617332	0.016323551	0.028137157	0.035378659	0.039849866												
0.006212029	0.015273217	0.026732909	0.034104932	0.03830228												
0.005872627	0.014491069	0.025527112	0.032892463	0.03703445												
0.005595708	0.013662489	0.024712706	0.031762395	0.035649237												
0.00498698	0.012983394	0.023507116	0.030485037	0.034280545												
0.004697106	0.012245562	0.022736559	0.029347598	0.033077118												
0.004407233	0.01162899	0.021629417	0.028579243	0.031798873												
0.004117359	0.011171113	0.020865503	0.027635404	0.031024086												
0.003827486	0.010471851	0.020063471	0.026689158	0.030158742												
0.003537612	0.010007051	0.019270419	0.025833888	0.02963457												
0.003247739	0.009538	0.018501733	0.025112833	0.029026907												
0.002957865	0.009201777	0.017832587	0.024297292	0.028503741												
0.002667992	0.008750101	0.017088862	0.023712138	0.028130934												
0.002378118	0.008426224	0.016661904	0.022821388	0.027305837												
0.002088245	0.008050402	0.016218162	0.022122645	0.026653356												
0.001798371	0.007665749	0.016138434	0.021625186	0.026195795												
0.001508498	0.00740852	0.015641289	0.021041795	0.025148471												
0.001218625	0.006057467	0.013681042	0.018175324	0.019645242												
0.000928751	0.00518317	0.011333829	0.015259241	0.017361104												
0.000638878	0.004347514	0.008976829	0.012589468	0.015236454												
0.000349004	0.003738193	0.007925751	0.010748849	0.013378731												
5.91E-05	0.003220043	0.006860715	0.009275424	0.012355591												
0	0.002805846	0.005967907	0.008181023	0.010953951												
0	0.002413659	0.00520731	0.006942835	0.009422157												
0	0.002189063	0.004738988	0.006253262	0.008023398												
0	0.001870565	0.004174922	0.00553826	0.007048413												
0	0.00164119	0.003680722	0.004797081	0.006251604												
1	1	1	1	1												
0.991711384	0.989210503	0.992116503	0.991752145	0.990107178												
0.962333996	0.960840151	0.964060719	0.964284729	0.965588787												
0.899027963	0.903093998	0.9075316	0.910161471	0.913246341												
0.800644895	0.808099441	0.817019219	0.821686662	0.823583306												
0.677208736	0.684662111	0.692276439	0.698873447	0.702838761												
0.532701922	0.541085121	0.552003443	0.555583931	0.557998854												
0.38904569	0.401089258	0.411510868	0.416536479	0.418164602												
0.268847178	0.282450699	0.293750645	0.298421333	0.301105644												
0.177222626	0.192564443	0.20683331	0.214837777	0.219119099												
0.11712818	0.135291508	0.150421159	0.158667321	0.165713414												
0.080422865	0.098760897	0.114989466	0.12420622	0.131175375												
0.056281159	0.074868749	0.091009764	0.101021836	0.107640002												
0.040932476	0.05867608	0.075119984	0.084669133	0.092029675												
0.030455781	0.047807502	0.063988227	0.07373895	0.080740122												
0.023738458	0.040142674	0.056198112	0.066140409	0.07324513												
0.019433462	0.035008047	0.050873408	0.060395707	0.067779749												
0.016464691	0.031250128	0.047014709	0.056577541	0.063662165												
0.014722699	0.028522579	0.043819655	0.053407328	0.060377284												
0.013235057	0.026077887	0.041343188	0.050782132	0.057574393												
